date,card,source_mode,application,sample,latency_us,latency_ms
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,40,45401,45.401
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,41,46224,46.224
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,42,44549,44.549
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,43,39299,39.299
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,44,43577,43.577
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,45,52200,52.200
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,46,47268,47.268
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,47,53069,53.069
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,48,40386,40.386
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,49,43733,43.733
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,50,45660,45.660
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,51,39780,39.780
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,52,40644,40.644
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,53,43721,43.721
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,54,44328,44.328
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,55,38465,38.465
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,56,41645,41.645
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,57,45917,45.917
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,58,42576,42.576
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,59,42137,42.137
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,60,49374,49.374
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,61,41003,41.003
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,62,44520,44.520
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,63,49854,49.854
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,64,52500,52.500
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,65,41160,41.160
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,66,48551,48.551
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,67,50333,50.333
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,68,46164,46.164
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,69,39504,39.504
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,70,50088,50.088
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,71,37764,37.764
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,72,41219,41.219
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,73,46475,46.475
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,74,42233,42.233
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,75,47952,47.952
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,76,48587,48.587
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,77,43680,43.680
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,78,44880,44.880
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,79,44670,44.670
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,80,49374,49.374
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,81,41747,41.747
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,82,39557,39.557
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,83,40385,40.385
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,84,39767,39.767
